City,Min Temp,Max Temp,Condition,Min Temp,Max Temp,Condition,Min Temp,Max Temp,Condition,Min Temp,Max Temp,Condition,Min Temp,Max Temp,Condition
Sokoru,14,25,R,13,26,LR,13,25,LR,14,24,R,13,25,LR
Teferi Ber,15,22,LR,14,23,PC,13,24,LR,12,23,PC,11,22,LR
Teji,11,22,R,12,23,LR,11,22,LR,12,21,R,13,20,LR
Telalak,21,29,LR,20,30,LR,19,31,PC,18,32,PC,19,31,PC
Tena,10,19,R,11,20,R,10,19,R,9,20,LR,10,19,LR
Tepi,18,30,R,17,31,LR,17,32,PC,18,31,LR,19,30,R
Tercha,19,29,LR,18,30,LR,17,31,PC,19,30,R,18,31,R
Tsitsika,14,26,R,13,27,LR,14,26,LR,13,25,LR,14,24,LR
Turmi,20,30,LR,19,31,PC,18,32,PC,19,33,PC,18,32,PC
Wacile,16,27,PC,15,26,PC,14,27,PC,15,26,PC,14,27,PC
Wegeltena,10,20,     R,9,21,LR,6,19,LR,5,20,PC,6,19,PC
Welkait,14,22,R,13,23,LR,12,24,LR,11,25,LR,12,24,LR
Werabe,14,24,R,13,25,R,14,24,R,13,25,LR,12,26,LR
Wereilu,11,21,R,12,20,R,11,21,LR,10,22,LR,11,23,PC
Werka(Nensebo),16,19,R,15,20,LR,16,21,R,15,22,LR,14,21,LR
Wolaitasodo,16,25,R,15,26,LR,14,27,LR,16,25,R,15,26,R
Woldiya,13,24,LR,12,25,LR,13,26,LR,14,25,PC,13,26,PC
Woliso,13,21,R,14,20,R,13,21,LR,14,20,R,13,21,LR
Wonchi,12,21,R,11,22,R,12,21,LR,13,20,R,12,21,LR
Wukro,12,23,LR,11,24,LR,12,23,LR,13,22,PC,12,23,PC
Yabelo,12,27,PC,13,26,PC,12,27,PC,13,26,PC,14,25,LR
Yaya Gullele,11,20,R,12,19,R,11,20,LR,10,21,LR,9,22,LR
Yayo,12,23,R,13,22,R,12,23,R,13,22,R,12,23,R
Yeki,14,22,R,13,23,R,12,24,LR,13,23,R,14,22,R
Yirgalem,13,22,R,12,23,LR,11,24,LR,12,23,R,13,22,R
Yitinora,14,22,R,13,23,R,12,24,LR,13,23,R,12,24,LR
